estado_id,fecha_inicio,cantidad_miembros_F,titulo,resumen,monto_total_solicitado,fecha_finalizacion,proyecto_id,proyecto_fuente,palabras_clave,sexo_director,monto_financiado_adjudicado,monto_total_adjudicado,codigo_identificacion,cantidad_miembros_M,monto_financiado_solicitado,fondo_anpcyt,tipo_proyecto_id,moneda_id,año
1,2008/11/05 00:00:00.000,,Desarrollo a escala piloto de liposomas de verteporfina,No publicable,384996.5,2012/12/21 00:00:00.000,8051,ANPCYT,,M,190318.65,464959.37,ANR 600 CB 001/06,,190318.85,FONTAR,6,1,2008
1,2008/11/12 00:00:00.000,,Desarrollo de tecnología de cultivo de células madre de folículo piloso para principios activos aplicables en prácticas de implante capilar y fortalecimiento del cabello,No publicable,663677.72,2012/12/28 00:00:00.000,8052,ANPCYT,,F,300900.0,623177.72,ANR 600 NA 352/06,,329400.0,FONTAR,6,1,2008
1,2008/01/10 00:00:00.000,,Desarrollo de un Sistema de Administración Transdermal de Selegilina genérico al producto EMSAM.,No publicable,1176264.0,2012/07/27 00:00:00.000,8053,ANPCYT,,M,392730.0,924564.0,ANR 600 NA 208/06,,583830.0,FONTAR,6,1,2008
1,2008/09/24 00:00:00.000,,Desarrollo de un sistema de geoposicionamiento de alta presición en tiempo real,No publicable,241752.0,2012/07/03 00:00:00.000,8061,ANPCYT,,M,117500.0,241752.0,ANR 600 CO 002/06,,117500.0,FONTAR,6,1,2008
1,2008/05/23 00:00:00.000,,Desarrollo de una plantación modelo de una nueva especie frutal denominada baby kiwi,No publicable,193600.0,2011/04/01 00:00:00.000,8066,ANPCYT,,M,83800.0,177100.0,ANR 600 NA 029/06,,91800.0,FONTAR,6,1,2008
1,2008/11/25 00:00:00.000,,Desarrollo de ingeniería de procesos y producto para fabricación de hormonales segregados inyectables y puesta a punto de planta piloto para su fabricación.,No publicable,1440349.0,2009/06/26 00:00:00.000,8070,ANPCYT,,M,419048.0,1333097.0,ANR 600 NA 358/06,,599999.9,FONTAR,6,1,2008
1,2008/05/29 00:00:00.000,,Desarrollo tecnológico de un prototipo de horno de proceso para la industria de petróleo y gas,No publicable,701765.0,2010/01/15 00:00:00.000,8073,ANPCYT,,M,325865.0,702125.57,ANR 600 NA 136/06,,329615.0,FONTAR,6,1,2008
1,2008/01/10 00:00:00.000,,"IDENTIFICACION, EVALUACION, SELECCIÓN Y MULTIPLICACION DE CLONES DE LA VARIEDAD MALBEC PARA EL MEJORAMIENTO CUALITATIVO DE LOS VINOS ARGENTINOS.",No publicable,268280.74,2011/04/08 00:00:00.000,8076,ANPCYT,,M,113840.0,268280.74,ANR 600 NA 195/06,,113840.0,FONTAR,6,1,2008
1,2008/01/24 00:00:00.000,,Desarrollo de sistema integral de comunicaciones ip,No publicable,309497.44,2009/01/27 00:00:00.000,8079,ANPCYT,,M,130929.24,309497.44,ANR 600 NA 319/06,,144864.74,FONTAR,6,1,2008
1,2008/01/18 00:00:00.000,,"Desarrollo de un equipo semirremolque batea con caja de vuelco trasero, adaptable para transporte de áridos, barros y/o cereales, mediante la utilización de nuevos componentes y sistemas de conformado",No publicable,225787.2,2009/07/08 00:00:00.000,8081,ANPCYT,,S/D,112234.0,225787.2,ANR 600 NA 250/06,,112234.0,FONTAR,6,1,2008
